0: Chaetoceros_other
1: Gonyaulax
2: Thalassionema
3: Rhizosolenia
4: bubble
5: Dinophysis
6: Pyramimonas_longicauda
7: Ciliate_mix
8: Gyrodinium
9: Bacillaria
10: Dactyliosolen
11: Cerataulina_flagellate
12: Strombidium_capitatum
13: Tiarina_fusus
14: Cochlodinium
15: Parvicorbicula_socialis
16: G_delicatula_detritus
17: pollen
18: Chrysochromulina
19: Guinardia_delicatula
20: Odontella
21: Pleuronema_sp
22: Euplotes_sp
23: Pseudochattonella_farcimen
24: Ephemera
25: Guinardia_striata
26: Chaetoceros_didymus_flagellate
27: Protoperidinium
28: Strombidium_morphotype2
29: dino30
30: Karenia
31: Cylindrotheca
32: Cerataulina
33: Guinardia_flaccida
34: mix
35: zooplankton
36: spore
37: clusterflagellate
38: Dictyocha
39: Ditylum
40: Licmophora
41: Bidulphia
42: Leptocylindrus_mediterraneus
43: Strombidium_inclinatum
44: Dinobryon
45: Coscinodiscus
46: Didinium_sp
47: Strombidium_morphotype1
48: G_delicatula_external_parasite
49: Hemiaulus
50: Skeletonema
51: pennates_on_diatoms
52: Tintinnid
53: Ceratium
54: diatom_flagellate
55: Stephanopyxis
56: Phaeocystis
57: Delphineis
58: pennate
59: Proterythropsis_sp
60: Pseudonitzschia
61: bead
62: mix_elongated
63: Amphidinium_sp
64: Paralia
65: Chaetoceros_pennate
66: bad
67: Lauderia
68: Heterocapsa_triquetra
69: flagellate_sp3
70: dino_large1
71: Laboea_strobila
72: Katodinium_or_Torodinium
73: Akashiwo
74: Corethron
75: Eucampia
76: Emiliania_huxleyi
77: amoeba
78: Strombidium_conicum
79: Pleurosigma
80: G_delicatula_parasite
81: Asterionellopsis
82: Strobilidium_morphotype1
83: Mesodinium_sp
84: pennate_morphotype1
85: other_interaction
86: kiteflagellates
87: Prorocentrum
88: Euglena
89: Strombidium_oculatum
90: DactFragCerataul
91: detritus
92: Chaetoceros
93: Leegaardiella_ovalis
94: Ditylum_parasite
95: Chaetoceros_didymus
96: Chaetoceros_flagellate
97: Tontonia_gracillima
98: Leptocylindrus
99: Thalassiosira
100: Thalassiosira_dirty
101: Tontonia_appendiculariformis
102: Strombidium_wulffi
